,the_geom,OBJECTID_1,Street,StreetCode,RouteType,BoroName,Restrictio,BoroCode,TruckRoute,LtdLocal,NYC_Reg,SegmentID,Shape_Leng,LocalTunl,LocalBrg,ThruTunl,ThruBrg,assem_dist,cong_dist,coun_dist,st_sen_dis,ThruExwy,BoroCD
79,"MULTILINESTRING ((-73.83019516321136 40.850201632055615, -73.83000111551816 40.85093026856135))",80,WESTCHESTER AVENUE,276950,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94468,270.843695996,,,,,82,14,13,34,,210
80,"MULTILINESTRING ((-73.82452180287031 40.88745758860578, -73.82448936010296 40.88742251932303))",81,EAST 233 STREET,228620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",184447,15.6116946843,,,,,83,16,12,34,,212
81,"MULTILINESTRING ((-73.9079265646856 40.868387130674776, -73.90762569122383 40.869097502253084))",82,BAILEY AVENUE,209820,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",73113,271.865069002,,,,,86,13,14,33,,207
82,"MULTILINESTRING ((-73.90777484272837 40.859609518774306, -73.90493386085274 40.862749574225916))",83,UNIVERSITY AVENUE,270620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",73096,1387.94413285,,,,,86,13,14,33,,205
83,"MULTILINESTRING ((-73.91403024335852 40.81895538325844, -73.913519776353 40.8195419273376))",84,3 AVENUE,268020,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",70376,256.183670418,,,,,84,15,17,32,,201
84,"MULTILINESTRING ((-73.82997139595724 40.831849760356384, -73.82970965845594 40.83201165259062))",85,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94347,93.409341728,,,,,82,14,13,34,,210
85,"MULTILINESTRING ((-73.83360742759801 40.829582220097116, -73.8326432613299 40.83018236554689))",86,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94183,344.971099126,,,,,82,14,13,34,,210
86,"MULTILINESTRING ((-73.82930787917208 40.851925541538776, -73.8285321057762 40.85227163922535))",87,WESTCHESTER AVENUE,276950,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94477,248.918696203,,,,,82,14,13,34,,210
87,"MULTILINESTRING ((-73.82608382148855 40.841371457222635, -73.82624133048195 40.84299359445923))",88,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94584,592.610100534,,,,,82,14,13,34,,210
88,"MULTILINESTRING ((-73.8225649672548 40.82357966838842, -73.82059845432313 40.822661296823284))",89,CROSS BRONX EXPRESSWAY,222240,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",93543,638.892528116,,,,,82,14,13,34,,210
89,"MULTILINESTRING ((-73.83221437617193 40.88924690386229, -73.83129736575712 40.88919231245946))",90,EAST 233 STREET,228620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",95617,254.326662769,,,,,83,16,12,36,,212
90,"MULTILINESTRING ((-73.8290716178354 40.834251493937785, -73.82863587673336 40.833720239132106))",91,EAST TREMONT AVENUE,229620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94372,228.042396509,,,,,82,14,13,34,,210
91,"MULTILINESTRING ((-73.83211664436595 40.880537640937625, -73.83144486787872 40.881106607910645))",92,NEW ENGLAND THRUWAY,253870,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",95563,278.354180247,,,,,82,16,12,34,,212
92,"MULTILINESTRING ((-73.82745855825273 40.88826375579145, -73.82601515332317 40.88804279774674))",93,EAST 233 STREET,228620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",117070,407.137398281,,,,,83,16,12,34,,212
93,"MULTILINESTRING ((-73.82835573117215 40.83328397349176, -73.82708176291382 40.83391087685006))",94,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94358,420.062168991,,,,,82,14,13,34,,210
94,"MULTILINESTRING ((-73.82499529945876 40.83972388615409, -73.82518850764023 40.84117819123495))",95,MACDONOUGH PLACE,249990,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94589,532.547827028,,,,,82,14,13,34,,210
95,"MULTILINESTRING ((-73.82799994499481 40.8486323505507, -73.82799559730947 40.848909922122694, -73.82797002412836 40.84918776729744, -73.82792321812775 40.849464488484436, -73.82785535462124 40.84973868565259, -73.82776682828593 40.8500089734954, -73.82765823643334 40.85027403363571))",96,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94462,608.523715941,,,,,82,14,13,34,,210
96,"MULTILINESTRING ((-73.90922207254839 40.82317865605523, -73.90911176083283 40.82337657027655))",97,3 AVENUE,268020,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",106929,78.3045113375,,,,,79,15,17,32,,203
97,"MULTILINESTRING ((-73.91117796572507 40.80530591586403, -73.91055233851158 40.80559309648996))",98,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",173626,202.350435537,,,,,84,15,8,29,,201
98,"MULTILINESTRING ((-73.91343151728216 40.86213906680567, -73.91422918038514 40.862488556535624))",99,UNIVERSITY HEIGHTS BRIDGE,210025,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",72984,254.744611039,,Y,,,86,13,14,33,,207
99,"MULTILINESTRING ((-73.91351191685206 40.824804944503654, -73.91316674475519 40.82545645505216))",100,MELROSE AVENUE,250320,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",70439,255.871132775,,,,,79,15,17,32,,203
