,Complex ID,Is Complex,Number Of Stations In Complex,Stop Name,Display Name,Constituent Station Names,Station IDs,GTFS Stop IDs,Borough,Daytime Routes,Structure Type,Latitude,Longitude,ADA,ADA Notes
25,38,False,1,86 St,86 St (R),86 St,38,R44,Bk,R,Subway,40.622687,-74.028398,1,
26,39,False,1,Bay Ridge-95 St,Bay Ridge-95 St (R),Bay Ridge-95 St,39,R45,Bk,R,Subway,40.616622,-74.030876,0,
27,41,False,1,7 Av,7 Av (B Q),7 Av,41,D25,Bk,B Q,Subway,40.67705,-73.972367,0,
28,42,False,1,Prospect Park,Prospect Park (B Q S),Prospect Park,42,D26,Bk,B Q S,Open Cut,40.661614,-73.962246,1,
29,43,False,1,Parkside Av,Parkside Av (Q),Parkside Av,43,D27,Bk,Q,Open Cut,40.655292,-73.961495,0,
30,44,False,1,Church Av,Church Av (B Q),Church Av,44,D28,Bk,B Q,Open Cut,40.650527,-73.962982,0,
31,45,False,1,Beverley Rd,Beverley Rd (Q),Beverley Rd,45,D29,Bk,Q,Open Cut,40.644031,-73.964492,0,
32,46,False,1,Cortelyou Rd,Cortelyou Rd (Q),Cortelyou Rd,46,D30,Bk,Q,Open Cut,40.640927,-73.963891,0,
33,47,False,1,Newkirk Plaza,Newkirk Plaza (B Q),Newkirk Plaza,47,D31,Bk,B Q,Open Cut,40.635082,-73.962793,0,
34,48,False,1,Avenue H,Avenue H (Q),Avenue H,48,D32,Bk,Q,Open Cut,40.62927,-73.961639,1,
35,49,False,1,Avenue J,Avenue J (Q),Avenue J,49,D33,Bk,Q,Open Cut,40.625039,-73.960803,0,
36,50,False,1,Avenue M,Avenue M (Q),Avenue M,50,D34,Bk,Q,Open Cut,40.617618,-73.959399,0,
