,Region,County,Municipality,BIN,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Date of Last Inspection,Poor Status
78,1,Albany,Albany (City),1073540,EXIT 24 THRUWAY TO I87 NB,FR I90EB TO I87NB,90I 90I11011004,NYSDOT,1987,05/06/2019,N
79,1,Albany,Albany (City),1073190,.2 MI N JCT I90 + I87,FR I90WB TO I87NB,RENSSELAER LAKE,NYSDOT,1986,07/01/2019,N
80,1,Albany,Albany (City),1073500,I-87 SO.BD.TO I-90-EXIT 1,FROM 87I SO. BD.,RENSSELAER LAKE,NYSDOT,1987,04/09/2019,N
81,1,Albany,Albany (City),2200270,NORTHERN BLVD CITY ALBANY,HENRY JOHNSON BVD,SHERMAN STREET,City,1980,04/08/2019,N
82,1,Albany,Albany (City),1092442,0.3 MI N JCT I90 & I787,I787 NB to I90 WB,90IX           P,NYSDOT,1968,11/26/2019,N
83,1,Albany,Albany (City),109297A,I787 58 RAMP&BDWAY-ALBANY,I787 SB TO SMX WB,SM-OFF TO PEARL ST,NYSDOT,1973,07/25/2019,N
84,1,Albany,Albany (City),1092441,0.3 MI N JCT I90 & I787,I787 SB to I90 EB,90I MAIN LINE,NYSDOT,1968,11/30/2018,N
85,1,Albany,Albany (City),109288A,JCT I787 & MONTGOMERY ST,I787SB TO CLINTON,WATER ST,NYSDOT,1970,10/25/2017,N
86,1,Albany,Albany (City),109288B,I787 NB OFF CLINTON AVE,I787TO CLINTONAV,WATER STREET,NYSDOT,1970,12/12/2018,N
87,1,Albany,Albany (City),1092870,.2 MI W JCT I90 & US 5,I90WB TO SH 85 SB,PATROON CREEK,NYSDOT,1967,05/09/2019,N
88,1,Albany,Albany (City),1060310,0.8 MI S JCT RTS 20 & 85,KRUMKILL ROAD,85  85 11012002,NYSDOT,2000,10/05/2018,N
89,1,Albany,Albany (City),1092480,LOUDONVILLE RD & I90 RAMP,LOUDONVILLE ROAD,90I 90I11012011,NYSDOT,1970,09/27/2019,N
90,1,Albany,Albany (City),5513580,2.39MI NW INT23 ON I87,NEW SCOTLAND AVE,87IX,NYS Thruway Authority,1954,06/13/2018,N
91,1,Albany,Albany (City),1092550,0.9 MI NE JCT RTS 9 & 5,NO MANNING BLVD,9   9 11081024,NYSDOT,1971,07/18/2019,N
92,1,Albany,Albany (City),1092560,JCT I90 & NORTHERN BLVD,NORTHERN BLVD,90I 90I11013007,NYSDOT,1971,12/21/2018,N
93,1,Albany,Albany (City),1092539,JCT OF US 9 & SH 377,NORTHERN BLVD,9   9 11081033,NYSDOT,1970,05/06/2019,N
94,1,Albany,Albany (City),109298D,ON RAMP E S PLAZA EXP EB,ONRAMP TO SMX EB,OFFRAMP TO 787ISB,NYSDOT,1969,07/17/2019,N
95,1,Albany,Albany (City),1074940,GREEN- BROADWAY-QUAY CONN,QUAY STREET,HUDSON RIVER SHRE,NYSDOT,1969,11/15/2018,N
96,1,Albany,Albany (City),1073550,N OF EXIT 24 OVER I90,RAMP 87IX SB,90IX,NYS Thruway Authority,1986,08/28/2019,N
97,1,Albany,Albany (City),109254A,RAMP I90 EB OFF TO 9 SB,RAMP 90EB TO 9SB,CSX TRANS/ AMTRAK,NYSDOT,1971,11/10/2017,N
98,1,Albany,Albany (City),109254B,RAMP 9 NB TO I90 E&WB,RAMP 9NB TO 90EB,CSX TRANS/ AMTRAK,NYSDOT,1971,10/16/2019,N
99,1,Albany,Albany (City),109254C,RTE 9N & DRY GULLY-QUARRY,RAMP 9NB TO 90WB,VACANT LAND,NYSDOT,1971,05/17/2019,N
